player_id,player_name,position,last_season,espn_id,issue,gsis_match,espn_match,name_hits
00-0031484,Chris Manhertz,TE,2025,4071345,gsis_hit_espn_value_conflict,3048,2531358,
00-0032098,Daniel Brown,TE,2021,2544798,gsis_hit_espn_value_conflict,2751,2519013,
00-0035957,Rodney Smith,RB,2021,3116074,no_id_match_ambiguous_name,,,2
00-0036482,Mike Strachan,WR,2023,4589245,no_match,,,0
00-0036727,Adam Prentice,RB,2025,3929914,no_match,,,0
00-0036919,Kenneth Gainwell,RB,2025,4371733,no_match,,,0
00-0036988,Josh Palmer,WR,2025,4242433,no_match,,,0
00-0037157,Bam Knight,RB,2025,4427728,no_match,,,0
00-0037300,Mike Woods,WR,2024,4360174,no_match,,,0
00-0037745,Velus Jones Jr.,RB,2025,4035693,no_match,,,0
00-0037156,Irvin Charles,WR,2024,3929636,no_match,,,0
00-0037292,Andrew Ogletree,TE,2025,4722908,no_match,,,0
00-0037451,Rod Williams,TE,2024,,no_match,,,0
00-0038468,Henry Pearson,TE,2023,4360794,no_match,,,0
00-0038489,Ben VanSumeren,RB,2024,4372070,no_match,,,0
00-0038738,Hunter Luepke,RB,2025,4383396,no_match,,,0
00-0037450,Tyreik McAllister,WR,2024,4589248,no_match,,,0
00-0038590,Justin Shorter,TE,2025,4361426,no_match,,,0
00-0038920,John Shenker,TE,2024,4242526,no_match,,,0
00-0038740,Jalen Cropper,WR,2025,4426990,no_match,,,0
00-0038839,Mitchell Tinsley,WR,2025,4690070,no_match,,,0
00-0040131,Kyle Williams,WR,2025,4613202,no_id_match_ambiguous_name,,,3
00-0040317,Jacoby Jones,WR,2025,5083297,no_id_match_ambiguous_name,,,2
00-0040547,Nate Carter,RB,2025,4605841,no_match,,,0
